사업자번호,address,industry,ind_rank,payroll,new_payroll,employee,employment,resignation,cmp_years
1148701177,서울 강남구 언주로75길 10,(J59201)음악 및 기타 오디오물 출판업,6,"~ 4,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,32.50 % (13                                            명),22.50 % (9                                            명),10 년
1148701309,서울 용산구 한강대로14길 69,(G46329)기타 가공식품 도매업,6,"~ 4,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,132.43 % (49                                            명),135.14 % (50                                            명),10 년
1148701444,"서울 서초구 강남대로101안길 33, 2층",(G46733)플라스틱물질 및 합성고무 도매업,5,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,20.00 % (1                                            명),20.00 % (1                                            명),10 년
1148701594,경기 안성시 고삼면 범골길 116,"(G46323)빵류, 과자류, 당류, 초콜릿 도매업",6,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,64.29 % (18                                            명),57.14 % (16                                            명),10 년
1148702119,"서울 금천구 가산디지털1로 5, 1601호 - 1610호",(J58222)응용 소프트웨어 개발 및 공급업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,31.82 % (28                                            명),34.09 % (30                                            명),10 년
1148702287,"서울 강남구 테헤란로82길 15, 327호",포털 및 기타 인터넷 정보매개 서비스업,,,,,,,
1148702536,경기 안산시 단원구 범지기로 147,(C26299)그 외 기타 전자부품 제조업,5,"~ 4,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,31.91 % (15                                            명),42.55 % (20                                            명),10 년
1148703025,"서울 구로구 디지털로33길 12, 1410,1411,1412호",(J58222)응용 소프트웨어 개발 및 공급업,5,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,67.71 % (65                                            명),38.54 % (37                                            명),10 년
1148703078,"서울 강남구 선릉로 704, 10층 374호",(M71310)광고 대행업,4,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),10 년
1148703840,"서울 송파구 송파대로 167, 제비동 제비1321호",(L68122)비주거용 건물 개발 및 공급업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,20.00 % (1                                            명),60.00 % (3                                            명),10 년
1148705474,"서울 성동구 연무장5길 9-16, 607호",비주거용 건물 임대업,,,,,,,
1148705488,서울 강남구 영동대로142길 4,호텔업,,,,,,,
