날짜,KOSPI,의약품,전기전자,비금속광물,통신업,음식료품,종이목재,서비스업,전기가스업,운수장비,보험,의료정밀,섬유의복,금융업,증권,운수창고,유통업,철강금속,화학,건설업,기계
20221025,223876,0.8744884320751967,0.8501645888338443,0.9243550529254985,0.9580411251447966,0.9846638738138527,0.9116723075410054,0.8308426310685004,0.31452949914052586,0.9343133813300701,0.9595446834857158,0.9064481215075508,0.8705154484567497,0.9847151832362826,0.8916436960669268,0.9857415063203019,0.9949507156640018,0.9941165739500282,0.9999999999999999,0.9570710289459855,0.8322506587454703
20221024,223616,0.9078899191356691,0.8868482932558241,0.9260208675801684,0.9592016041707684,0.9852637575202685,0.9180945341086026,0.8509562374441106,0.3291466119684441,0.96529240465977,0.9587862790405661,0.9549298092736218,0.8698795334051961,0.9965796466753365,0.912775938223496,0.9999999999999998,0.994162417919241,0.9999999999999998,0.9739986163516484,0.9661722372659779,0.8370834718587234
20221021,221312,0.9482914669926974,0.9117435165362118,0.917450683446047,0.9706355612438843,0.9999999999999996,0.9408638139050685,0.8710570896928829,0.3327946902298953,0.9947388848886414,1.0,0.9452772906974731,0.8835709128847984,0.9943598771049742,0.9265522906868743,0.9741677772952044,0.9999999999999998,0.9893887350522974,0.9136590506352203,0.9654923639415668,0.8806121626516745
20221020,221809,0.9377157290774278,0.9121195560830551,0.8975372383953779,0.9651255704814704,0.9531219686364434,0.9123752922920589,0.8383459623343548,0.3287916726690818,0.9610316489580413,0.8673806160275683,0.9297937966009049,0.8924323007914994,0.9378026689568468,0.8902883388722324,0.9453638360065166,0.9277871523471666,0.8948716574262086,0.8925550963357335,0.9370252070940325,0.8301631434126184
20221019,223744,0.8526331214725842,0.8589568553966513,0.8839992119988458,0.9529452304852829,0.8958902025763051,0.8941419586181181,0.8220934482460778,0.30147538099354865,0.9179877696581955,0.7912238144021697,0.884227161052829,0.8758129914181132,0.8829196278481497,0.8477728238693926,0.8859305044806212,0.8823759193371672,0.8582610789783394,0.8630456082150318,0.9359531344421309,0.7875152824650766
20221018,224995,0.8526486750075855,0.8356927890730372,0.8676385807332525,0.9484968643701269,0.9117002796951512,0.8846271067547851,0.8396020477544641,0.26761994315909177,0.9149420282692962,0.8099791395051583,0.8628264180320904,0.8851411779049969,0.88008716635807,0.8396716024999024,0.8881515889131937,0.8932167715173811,0.8441863573859616,0.8666369061703109,0.9455102262204514,0.7651100043310302
20221017,221971,0.9006427451968599,0.8855086129141283,0.9163980584208566,0.9661194490766988,0.9490071205220043,0.9312756476967596,0.861520452459348,0.31037754788238336,0.952252793893746,0.8536357238243597,0.920952921748702,0.9060740686726243,0.9420821618387167,0.8772633422044883,0.9406614397832038,0.9211071873354479,0.8603478869967878,0.903902344246985,0.9882779425854055,0.879325165908329
20221014,221255,0.931658086044451,0.8876425742773066,0.9340701449759332,0.9667421245807603,0.9229374186663284,0.9548279146175926,0.8575252153720749,0.3041359121502749,0.9421579035794183,0.8435521039590128,0.9505295550406059,0.8837023206428738,0.9350790182151987,0.8665994069282349,0.9020487902129262,0.9286615479600642,0.851325904097908,0.8830696753197868,0.9691500099413263,0.8627330743962931
20221013,216287,0.9800717761677842,0.9749973201772766,0.9919623195603307,0.9953845841738708,0.9855569489500895,0.9507819211253055,0.8503858443325503,0.3457974930474068,1.0,0.8739426389547349,1.0,0.9399226984596414,1.0,0.9222808134760584,0.9549646383857577,0.9947501797044287,0.8987486871855259,0.9230564896410364,1.0,0.8458857275606184
20221012,220247,0.9477471996791891,0.9465822901475225,0.9456533021539659,0.9710205597706073,0.9054305672657161,0.8777857178612947,0.8341323098192304,0.3071397451594866,0.9709823151055641,0.7973149213641495,0.8689472698646998,0.9795207541667885,0.9445098882973522,0.8789414267571484,0.8996819406264971,0.9106520572761367,0.8231199967360914,0.8825393857944995,0.9495421751947642,0.7749969523699822
20221011,219207,0.8344214474706988,0.9338809793648217,0.9335141938476545,0.9776123569992657,0.9161698033427457,0.8977269057848285,0.8329570097479031,0.3210971549414592,0.9760377258429163,0.8294091631015212,0.8177990851706651,1.0,0.9446026926327034,0.9065197424062156,0.9228475472863458,0.9758914637297342,0.8288826574102164,0.8783294312038074,0.9725910416918567,0.8591504938218635
