날짜,KOSPI,건설업,의약품,철강금속,증권,금융업,기계,화학,서비스업,전기전자,운수장비,유통업,음식료품
20220824,244745,0.7470298770169888,0.8595687265377945,0.5964709633407363,0.7910846421278096,0.7338384136828342,0.7570157224635392,0.6122604670309796,0.7418137588152496,0.6498773596518943,0.6441388335483629,0.5023913693416202,0.6782066543551046
20220823,243534,0.7356814679184327,0.845421013096938,0.574608059547689,0.7671307073076478,0.7186826017786596,0.671396558601475,0.572909848234325,0.71115995852075,0.6048256298834802,0.6127783771798776,0.4590772422908751,0.6727566031497871
20220822,246250,0.720941184158685,0.791117592416658,0.5534974232571201,0.7613316834263363,0.6856621475893707,0.6243915845503589,0.5470777469797944,0.7046194700403972,0.5802751397634698,0.5999212705837815,0.4427985973663868,0.6439787237348553
20220819,249269,0.7043513840439102,0.7160515443401156,0.5429485647329673,0.7547577418401595,0.6488877045652908,0.583453501626217,0.520218108493817,0.6971633338540839,0.5441788970770605,0.5985823113562505,0.42524611759950615,0.584183242514793
20220818,250805,0.6857503541891847,0.7025319902721603,0.5617103693289311,0.742961044823092,0.6377397536558909,0.5860017677432632,0.5235057085774747,0.679273245178357,0.5568718482881136,0.6100023063390605,0.42278829492788583,0.5756087985491938
20220817,251647,0.6890232012847628,0.6697994617203629,0.5463735217547729,0.7392432840424442,0.6326279213313475,0.6231665199016341,0.5185775880625437,0.6796176747580054,0.5686364512764357,0.6391845576255404,0.41857447242916734,0.5649786929264975
20220816,253352,0.6690663148112255,0.6656243326506686,0.5370045577920977,0.7205788862621757,0.621547208530093,0.6586719469902236,0.519216091613968,0.6612723012197383,0.5398526219269275,0.6146684923590566,0.3939084656824412,0.561379373455301
20220812,252794,0.6767151764549515,0.6818028887672578,0.5485656499712075,0.7313549469909991,0.6321056410479662,0.6532108314065432,0.5267870571403389,0.6739517425805521,0.5590017394234115,0.6309313173517748,0.436165793010312,0.5772218619246057
20220811,252378,0.6609841003551202,0.6482806529652243,0.5156907839477458,0.6798115378697048,0.6037184290351285,0.6979409573060154,0.5212823198454358,0.6788908129821778,0.5785439396161534,0.6230574999136287,0.4006473527768297,0.5613791300182016
20220810,248088,0.6691965017319115,0.694811394624195,0.5180973006905796,0.6898783031103036,0.6098366272797282,0.7575151823071602,0.5244111890497832,0.6778126938541134,0.5987076541364831,0.6290125708045262,0.449443683607726,0.5810877948356103
20220809,250346,0.6849914100558117,0.7044034174659062,0.5051410664872602,0.6673283915038405,0.6151007975675051,0.7366063318278013,0.5249217521917294,0.6825672836750809,0.5704914032478681,0.6264380980658404,0.4083455767596953,0.5266215166388863
20220808,249310,0.7084808400744165,0.663984681243238,0.5416941240511213,0.67660664256063,0.6380665387975402,0.798365145675743,0.5493205253477605,0.662278664980406,0.5764128205442687,0.6552148692016986,0.410229695822645,0.5284009174092197
20220805,249080,0.7144064783428778,0.6095011301010342,0.5342984834842011,0.6664506293881597,0.6217471205084517,0.73672433715392,0.5446208989678504,0.6134027543986729,0.5677411324114097,0.6819983197499602,0.3903644826294901,0.512261510320335
20220804,247311,0.7473880189624509,0.5539548004061554,0.5765287698498907,0.6293170340964488,0.5977484500913011,0.6659394013483957,0.5740820128586152,0.5795411180833268,0.5659927208032502,0.7571976658167554,0.402154426021883,0.5239542491174505
20220803,246145,0.7625376154254233,0.5910005433414034,0.58726454064349,0.6387217958742376,0.6191141649738865,0.7261559102930217,0.6106046337523762,0.584971840399076,0.5700862186383506,0.771122490134575,0.4153220442438692,0.5858409346868716
20220802,243962,0.775060331501547,0.6013498240295214,0.6053385740518413,0.6499378935329071,0.6463763364211599,0.7371393707089475,0.5302145929768453,0.5860772945516652,0.5566387129021519,0.7513277979672834,0.4005295051986266,0.6545960070115622
20220801,245225,0.744686384169811,0.6065486163205955,0.5968309327076418,0.6315244446552418,0.6202110424530085,0.7015080376434866,0.5284961117558166,0.5624897763024101,0.56360890869194,0.7122500618907355,0.37481169576759976,0.5962709676042883
20220729,245150,0.7485204284091183,0.6448464387097042,0.6402016856837804,0.6613093040632222,0.6866705828562436,0.771366278993201,0.5680452608710759,0.58184943107918,0.6254124428328893,0.7369265017709961,0.41509792669775747,0.6125030134292029
20220728,243527,0.7493236020605647,0.649092559536091,0.6767502081705719,0.6761527629765781,0.692928639576631,0.8618930902849784,0.5816912885267572,0.5685842606244276,0.6504939017390732,0.7150505143636565,0.48851585949765886,0.6176850408290284
20220727,241553,0.7465999749789753,0.6042689354554494,0.6660981114946549,0.6735915408116185,0.6891578513218573,0.8073515132056359,0.5659358548263959,0.5531244077706363,0.625930193160565,0.7242132496034468,0.46977346621749394,0.592681058241713
20220726,241296,0.7303653940405472,0.5494022549013335,0.6553131626650648,0.6690948071781101,0.6669634886608207,0.7281706854171333,0.5514642508909023,0.5558032561702493,0.6128812340265315,0.6777355117566812,0.48830418547439347,0.5910584738891527
20220725,240369,0.696562027802013,0.5193366588079278,0.6449147178551964,0.64315361174993,0.6566083419316286,0.6342185401827884,0.5491251086891614,0.5469182538325785,0.6813075449234434,0.6570178595101523,0.45795127612491315,0.5741850465918996
20220722,239314,0.7128387369718665,0.5406848424902839,0.678209458465006,0.6438922873212946,0.6541850918542114,0.5985398655260932,0.5274387250706917,0.5390090464559969,0.6605121412071819,0.6434016982576591,0.5359505181574562,0.5694989552628926
